Month,MIN,MAX,MEAN,STD
2010.01 ,0,314.57,28.0961,50.8753
2010.02 ,0,236.31,38.0065,49.7053
2010.03 ,0,613.55,73.1491,98.0552
2010.04 ,0,699.59,100.2721,97.0193
2010.05 ,0,738.48,111.9615,103.8253
2010.06 ,0,739.68,102.5428,96.4555
2010.07 ,0,536.07,75.8472,74.8254
2010.08 ,0,328.86,28.9838,33.3079
2010.09 ,0,540.15,23.0792,43.5952
2010.10 ,0,115.07,7.9064,12.7671
2010.11 ,0,221.46,15.4187,25.4969
2010.12 ,0,222.14,16.8159,28.7021
2011.01 ,0,233.11,23.7968,38.8003
2011.02 ,0,345.72,42.5743,43.8095
2011.03 ,0,863.71,79.4331,110.3772
2011.04 ,0,892.23,105.0013,107.1317
2011.05 ,0,858.17,95.0021,99.8189
2011.06 ,0,857.06,105.0387,101.3945
2011.07 ,0,439.92,72.0381,69.2919
2011.08 ,0,325.56,36.599,48.869
2011.09 ,0,372.54,34.7663,56.7036
2011.10 ,0,241.25,22.6137,42.7294
2011.11 ,0,417.65,25.9557,62.1327
2011.12 ,0,115.43,11.7162,16.3843
